config,qp,delta,avg_psnr,avg_ssim,post_psnr,post_ssim,pre_ber,post_ber,mask_agreement,fec_fails,channel_bit_exact_pre_fec,decryption_ok,decryption_err,compressed_kb,elapsed_s,error
Adaptive ROI (proposed),23,50,48.942216951874514,0.9972768405902727,42.0426236902526,0.9821713582426612,0.0,0.18099547511312217,97.34733478576617,0,False,True,,99578.5751953125,363.4003701210022,
No ROI (all blocks),23,50,43.23113625990315,0.9609425412283266,43.38001386363579,0.9746701941198133,0.0,6.105203619909502,27.977923021060274,326,False,False,ValueError,99930.6337890625,142.24343585968018,
